FlowRate_LPM,Pressure_Bar,TankLevel_L,OilCost_$
234.08,49.8,2718.98,397.92
421.14,70.58,2976.17,591.59
101.85,46.75,1220.87,212.66
233.4,62.52,4818.55,521.42
259.27,63.91,1514.31,379.0
314.96,30.44,3789.85,487.12
467.94,41.67,3024.92,588.11
238.54,58.24,1102.53,333.31
238.78,24.24,4698.99,462.34
395.0,41.69,4407.35,598.91
280.89,52.09,3097.03,457.69
189.84,79.77,1915.77,367.32
280.98,48.47,1486.49,371.81
156.34,68.96,2453.57,351.2
170.55,45.92,2021.71,306.42
299.35,67.78,3026.76,492.49
267.57,55.72,4865.64,540.93
465.94,73.2,3299.81,647.53
244.96,44.66,4559.72,490.94
332.24,56.26,3603.52,530.35
352.91,57.8,2900.99,514.08
105.24,45.04,4418.43,372.68
365.41,28.66,2885.47,479.59
171.21,25.61,4474.51,399.12
484.43,21.0,2166.31,527.36
159.47,72.41,1515.25,311.95
265.85,34.19,4421.26,485.03
134.14,32.69,3349.66,323.83
498.75,64.16,4556.37,723.06
300.88,39.2,4751.31,537.07
338.15,50.36,1214.51,406.79
126.83,29.75,3003.88,296.28
399.98,77.58,2499.86,561.36
183.96,71.09,3503.43,428.98
459.22,71.83,4174.36,683.84
182.06,44.41,2122.36,318.37
176.28,65.74,3227.19,400.99
114.62,28.63,3834.91,326.39
288.83,20.52,1537.72,338.72
325.94,21.2,4256.27,505.36
126.28,55.2,3424.44,355.04
410.21,47.32,4798.15,639.06
281.32,51.08,2358.12,419.58
309.76,20.45,1432.58,350.11
276.31,45.36,3026.0,440.39
260.31,63.08,1343.24,370.03
323.86,46.56,4878.11,572.83
162.1,63.93,1154.74,283.31
172.77,33.98,4014.02,389.89
444.71,68.79,3100.41,613.97
478.45,55.31,2474.48,589.44
249.32,32.65,1263.37,311.6
208.3,34.2,3488.67,392.38
357.6,57.68,3340.88,539.65
263.49,69.8,2123.53,421.67
110.15,44.94,4640.89,387.57
162.46,35.5,2216.44,294.04
386.39,72.02,2798.9,557.09
363.57,60.16,3175.05,539.84
110.84,46.89,1400.93,229.04
188.79,49.27,4728.65,461.37
192.43,32.26,2498.14,327.23
368.76,57.61,1323.12,447.57
107.88,41.52,2549.16,276.05
141.64,79.74,3400.81,402.96
419.97,48.81,3054.61,561.92
171.42,49.15,3778.17,399.77
361.1,53.95,1221.94,430.9
195.27,75.01,2138.16,375.63
139.78,68.05,4276.92,427.74
197.27,47.07,1319.57,294.4
388.91,63.12,4421.94,626.91
442.28,55.17,1367.58,504.96
432.09,49.54,4337.82,636.87
258.87,31.54,2443.15,376.56
367.23,47.84,3448.84,537.98
181.99,34.75,1611.55,278.3
217.26,74.89,1264.67,349.38
458.53,40.12,1863.75,520.2
105.2,77.14,1511.42,275.44
134.2,51.98,2249.62,297.82
183.15,57.89,3057.53,386.24
110.61,52.58,3355.04,335.11
172.57,27.76,4159.47,387.68
333.22,42.55,3624.96,511.65
268.57,25.95,3435.03,425.53
457.07,57.38,2647.13,584.08
426.98,46.81,2895.23,556.56
236.73,66.68,2658.08,422.3
203.77,33.23,4368.66,431.29
251.88,29.87,1920.0,342.31
336.12,44.38,1022.88,386.61
207.23,75.6,3605.28,459.44
349.66,62.63,1809.85,464.16
263.76,45.14,4560.46,506.74
320.82,51.04,4436.19,555.02
274.45,25.05,1306.91,322.49
217.79,79.07,1425.55,364.12
479.38,59.98,2980.69,622.52
405.44,37.12,3436.89,551.88
156.05,55.15,2099.63,312.54
447.39,26.57,3867.19,591.12
294.97,77.95,3379.66,521.89
457.82,30.49,2299.3,526.95
419.94,58.88,1101.49,479.35
270.09,34.73,4000.6,468.19
108.99,63.05,1859.01,274.72
207.47,66.61,4337.89,482.79
316.65,60.41,2681.16,477.99
353.39,56.87,3308.31,533.43
203.16,73.55,4491.79,497.44
155.74,24.72,4454.49,384.39
433.97,39.85,2486.08,531.26
493.76,34.9,1835.56,539.13
310.28,79.28,4100.58,572.17
168.67,43.36,2732.32,336.6
208.92,63.96,1768.17,351.48
107.36,61.08,4617.7,408.4
465.72,32.72,1792.42,511.28
147.1,34.34,1103.23,224.35
330.61,36.88,1081.12,373.86
209.62,44.67,3489.26,409.16
321.67,34.06,3646.7,490.76
360.57,21.18,2244.17,432.43
431.9,72.76,2280.04,568.66
182.57,77.94,2357.98,380.86
104.4,40.49,3720.63,330.29
154.75,40.31,1232.54,245.9
460.01,20.43,4716.47,634.47
449.56,60.82,1890.08,545.37
338.97,69.53,4998.69,625.4
340.21,28.8,1686.09,399.66
366.01,29.58,4086.19,541.49
170.15,67.4,1893.65,331.91
465.76,56.98,1323.39,524.25
267.51,22.69,4499.73,473.03
253.26,57.35,4435.01,510.38
307.57,38.54,2614.28,434.57
118.79,42.12,3809.58,348.69
166.51,66.18,3228.26,393.9
395.21,68.66,4411.82,639.75
133.12,44.02,2260.22,285.54
341.26,76.83,3094.69,542.99
198.14,44.39,2941.49,372.17
255.72,66.31,2415.62,424.82
215.48,49.03,4565.82,474.22
242.27,73.85,1663.51,387.77
387.62,74.47,1598.03,501.69
218.85,25.25,3307.64,378.33
326.56,76.19,3629.98,557.03
290.42,69.53,1778.48,425.56
365.47,67.48,2562.87,521.74
474.73,32.05,4786.26,667.18
393.03,68.31,1986.47,516.21
185.98,71.01,3673.44,438.97
112.47,37.35,3960.6,344.03
204.91,77.14,2792.51,419.25
338.03,22.99,4750.1,542.42
120.57,28.99,3946.63,337.28
298.55,52.25,2831.7,458.8
338.74,54.55,3277.34,516.68
233.7,58.71,3770.45,463.54
408.36,21.02,3368.76,526.66
142.64,77.62,4514.79,456.28
130.06,22.68,2427.55,259.43
391.28,28.58,2199.54,465.87
298.2,20.84,1855.36,362.59
375.36,54.01,1151.13,438.86
273.93,75.94,1172.06,391.65
198.56,59.96,4480.22,472.79
427.64,69.36,3713.57,631.83
419.77,20.8,3642.13,549.11
377.88,52.52,3458.57,554.01
208.86,47.57,4396.88,458.29
336.09,49.94,2921.07,489.83
244.39,24.33,4481.64,456.09
136.63,61.07,2437.78,322.79
466.93,50.19,4706.83,684.17
154.73,65.91,3794.63,412.38
480.09,49.12,2028.71,559.19
278.4,28.96,3256.34,428.98
174.05,58.9,3132.12,384.19
316.76,30.34,1551.6,376.5
449.18,72.34,3364.97,636.11
392.89,56.79,2259.14,512.45
422.62,29.43,1209.4,442.72
363.51,77.74,4794.62,647.15
376.91,51.1,3565.96,556.48
439.68,24.37,4507.68,613.69
199.87,57.61,3704.22,431.52
295.77,35.19,2427.93,410.8
188.48,68.22,3050.75,405.66
495.07,69.07,3702.99,684.81
477.62,78.74,4841.01,742.25
115.77,50.11,2014.68,268.52
382.23,47.3,4499.91,601.73
470.1,65.21,4696.31,708.71
172.23,27.95,3681.66,363.79
327.18,52.81,4725.07,577.22
466.2,52.77,2591.51,581.69
113.58,25.37,4812.06,369.52
378.97,45.08,3811.13,561.35
218.94,71.2,1168.02,340.35
469.76,71.37,4627.49,714.24
488.42,25.95,2937.89,576.56
477.71,25.44,2841.31,562.4
289.69,35.76,3265.87,448.68
444.82,72.49,1597.54,544.46
437.82,27.73,2876.66,535.69
227.64,63.2,4324.51,493.14
431.57,26.07,1061.93,437.45
114.8,57.39,2091.67,282.51
338.51,41.36,1009.82,383.34
192.0,67.33,2662.85,387.75
148.23,34.02,3913.26,365.28
130.78,58.35,4195.09,401.91
378.52,34.14,4780.76,593.06
235.95,62.82,3434.02,454.69
389.91,72.42,2018.51,521.48
126.14,27.61,4696.59,377.16
226.12,72.0,4101.26,493.95
315.8,55.61,3297.71,500.94
416.29,27.63,3782.56,563.6
227.5,45.65,4697.27,485.34
350.36,29.65,3849.58,517.24
454.39,62.02,2473.5,580.22
346.35,65.53,3852.11,567.98
193.18,26.35,1161.11,252.12
109.76,50.37,2545.66,290.64
448.04,68.88,2625.29,593.01
108.51,76.17,1667.35,284.43
449.88,50.81,1092.34,490.74
311.57,77.02,1533.52,441.46
475.63,52.14,3618.49,639.64
419.51,43.65,4209.16,611.55
499.17,70.89,4952.81,753.32
240.28,49.58,2385.45,385.87
406.88,48.31,3397.52,567.85
260.77,49.42,4748.58,520.18
291.95,70.81,1668.17,423.18
351.0,69.92,3870.58,579.21
449.47,44.21,4019.91,626.89
493.63,40.0,1355.9,522.7
407.31,49.52,4445.0,622.37
267.11,54.37,4252.42,507.86
268.54,34.3,1133.61,322.97
395.03,67.64,1364.34,485.7
195.51,49.19,1196.51,290.02
144.19,40.04,2338.97,292.36
241.85,26.41,3037.16,384.95
214.9,34.33,3129.39,379.88
218.52,76.96,2070.67,393.79
193.44,38.31,4646.39,444.53
116.84,30.13,2473.05,262.32
107.15,47.64,1182.2,216.29
495.09,38.43,2200.91,563.75
271.11,22.11,3124.44,406.27
253.73,39.39,2632.89,393.71
371.86,52.65,2095.37,481.23
187.3,53.1,1525.29,305.76
479.98,41.39,4276.66,659.91
414.54,46.84,4984.58,651.12
135.76,77.93,2318.17,341.42
267.03,42.64,2526.48,403.91
451.65,35.49,3472.15,588.17
477.89,34.61,3873.77,627.91
286.96,47.47,2568.12,429.17
345.36,65.57,4619.72,605.63
166.81,32.36,3240.02,343.99
496.47,62.56,2801.56,631.09
192.67,21.27,3586.69,365.37
477.09,45.14,4811.22,689.94
359.86,66.55,4178.21,596.63
343.09,40.32,1160.05,392.96
305.08,53.82,2329.24,441.26
192.27,32.3,2882.18,346.37
170.61,64.52,2258.07,346.17
188.19,23.14,3800.75,375.3
174.58,71.15,4305.08,461.64
411.83,31.89,3925.38,573.57
240.05,72.46,4957.33,548.6
123.14,41.15,2090.19,264.75
487.64,63.36,4499.96,710.15
453.51,39.15,4066.49,624.87
471.1,74.35,2448.72,610.85
497.96,27.6,3936.5,636.59
169.56,30.71,1416.3,252.53
258.5,49.58,4157.33,489.04
403.3,24.92,3129.32,516.48
378.41,31.76,2169.16,458.82
161.56,76.63,3623.11,425.34
426.33,78.59,3566.48,637.27
189.78,42.58,1837.94,307.58
189.53,75.4,1121.59,320.8
314.79,52.69,2734.49,467.59
337.18,36.18,3278.05,487.92
332.03,62.14,4506.42,584.16
136.59,59.53,4712.87,434.22
450.98,79.35,3115.22,635.57
206.24,35.9,4015.21,419.61
151.81,60.32,2757.21,349.79
455.5,23.12,3984.33,598.3
482.26,26.82,1819.21,517.0
444.85,20.24,2484.26,510.45
423.81,79.97,3536.91,635.84
362.1,68.14,1072.63,445.51
320.34,67.2,3889.85,551.57
134.79,50.58,4342.14,400.82
263.38,38.0,2596.57,397.54
249.08,29.08,2791.77,382.46
203.9,37.08,4405.13,439.0
389.37,42.56,4102.62,580.46
298.35,65.38,2152.6,444.38
132.42,52.38,2295.9,299.3
188.07,24.65,3715.51,373.21
373.3,21.08,3252.79,492.91
130.45,26.14,1648.92,226.02
440.48,44.63,2239.72,531.32
298.06,75.99,4599.93,582.43
292.23,58.24,3752.7,508.79
336.96,68.11,4943.9,618.93
429.87,47.98,4068.05,619.27
239.12,41.7,4767.9,492.24
371.21,26.5,1864.75,429.96
326.29,72.56,4085.94,574.17
206.81,66.99,1080.87,319.98
451.45,30.09,3683.04,590.44
418.97,50.74,2877.13,555.14
363.38,49.24,2387.04,483.92
440.23,57.51,4449.62,660.93
446.92,76.77,4417.07,693.54
383.35,54.79,1089.21,443.32
434.81,52.41,3438.02,598.36
378.99,23.02,2471.33,461.29
372.06,23.77,2662.64,466.44
347.44,31.24,4328.16,541.23
401.09,21.95,2239.36,465.76
163.44,64.6,4772.2,466.27
452.35,63.4,1718.54,542.91
448.74,28.16,3650.89,583.78
111.7,70.16,3688.42,379.03
430.33,29.29,2008.78,488.63
151.55,38.07,2299.0,293.29
234.05,34.94,4339.19,456.61
397.4,42.34,4047.22,583.79
164.3,35.28,2316.38,300.18
427.19,49.34,3135.83,572.55
432.85,44.44,1246.72,475.29
302.99,79.19,1834.98,452.93
102.55,23.36,2943.28,264.24
214.82,28.53,1343.89,281.84
346.77,23.17,4373.33,530.84
492.47,57.55,3872.02,673.91
352.73,23.27,4774.53,555.81
203.92,70.19,3773.87,457.11
353.6,50.72,4761.61,597.04
315.99,51.62,3218.05,491.13
411.94,53.7,3400.87,580.14
142.79,30.25,4907.88,405.0
404.41,31.86,3568.52,549.75
316.51,39.13,1123.15,368.06
485.2,55.61,3895.21,666.33
236.75,32.61,4621.87,469.4
353.05,26.98,4182.32,532.02
472.81,78.21,3335.33,662.33
141.0,21.32,3685.21,329.04
474.89,68.16,4960.77,730.19
375.15,67.28,1362.65,469.18
127.13,37.83,3668.98,341.91
220.39,28.14,2133.59,325.19
383.27,28.74,3560.36,527.74
126.94,61.85,3430.49,365.85
332.87,58.57,1613.83,434.84
238.35,66.96,1826.99,382.48
348.37,76.25,3486.52,567.39
118.3,61.52,1512.92,262.56
448.61,29.35,2060.72,505.95
489.4,34.61,4340.98,660.48
487.55,70.53,2308.37,611.26
399.86,32.56,2952.24,516.34
152.03,24.35,4764.56,396.38
403.31,62.2,1908.6,511.37
109.83,44.15,2558.5,282.02
108.85,75.2,3425.83,371.17
229.44,59.02,4021.36,473.15
295.46,25.43,4606.61,504.83
408.16,76.87,4661.89,674.93
373.32,35.51,4106.56,557.25
278.36,40.23,1913.32,378.7
209.45,44.14,1099.24,288.73
498.85,23.07,2535.1,560.44
270.47,49.79,1566.2,369.37
280.55,27.4,3841.55,457.62
165.45,44.06,3644.52,380.67
417.92,41.04,1175.89,454.7
377.47,66.37,4346.38,618.85
188.31,68.19,1994.97,352.68
132.95,29.2,2728.91,286.61
372.2,41.99,3671.73,544.34
361.8,42.4,2717.68,488.93
209.3,29.08,2765.15,349.33
480.35,67.91,1262.51,549.26
160.42,62.43,2605.77,352.28
272.93,31.42,4059.39,468.45
477.45,42.0,4660.71,678.0
267.89,26.35,2653.99,386.53
355.41,57.69,2694.34,505.58
259.04,27.28,3810.51,438.68
209.69,79.16,4771.09,525.04
493.59,66.84,2068.24,598.55
263.73,43.41,2760.58,414.14
457.64,54.71,4183.89,657.38
191.98,74.68,3438.77,437.54
185.24,53.25,1442.35,300.18
112.45,30.47,3510.93,311.21
360.67,42.72,1746.99,439.97
247.41,70.59,3040.86,455.85
445.74,58.65,3116.41,600.39
289.28,59.04,4504.81,545.23
487.28,72.01,2849.98,640.33
174.21,73.64,2117.77,355.71
447.45,75.19,1923.87,566.93
410.64,25.69,4497.01,591.9
408.37,52.65,1684.04,489.87
437.91,64.43,2703.47,582.15
404.41,65.42,1748.69,509.09
350.49,56.4,4093.22,569.66
152.5,30.01,2897.49,311.88
113.01,67.85,2404.57,312.4
468.34,63.21,2444.4,591.7
346.66,25.17,4408.86,535.52
418.61,47.83,3215.1,567.39
292.61,30.44,3871.47,473.32
146.92,40.25,4588.15,407.32
150.07,21.08,4606.97,382.04
374.23,44.02,2314.04,481.11
272.12,52.99,4809.81,537.68
180.21,57.17,1099.5,284.91
296.64,59.81,2507.34,452.39
125.68,70.18,4583.2,434.97
332.79,32.93,2098.55,420.55
207.6,27.23,2092.33,311.54
419.02,71.09,2210.49,552.38
224.14,29.4,3449.25,395.87
282.09,78.49,2753.33,481.07
104.65,70.55,3906.94,384.89
128.98,50.05,4579.64,407.24
257.0,78.89,3696.8,508.77
291.98,25.84,1817.87,363.24
340.01,38.18,4730.73,565.82
216.67,58.29,2057.97,363.67
377.99,41.0,1599.58,443.87
444.05,75.7,1359.87,536.79
411.94,23.94,3253.53,528.14
115.85,52.96,1455.05,244.88
292.2,55.45,1555.1,394.7
141.97,59.16,2200.12,312.33
196.82,35.34,2126.61,316.79
494.67,41.87,3416.96,629.39
157.0,70.62,4266.98,444.88
299.56,31.7,4045.4,489.46
347.26,69.61,2049.94,484.72
380.99,53.76,1981.24,484.49
323.86,65.73,4863.17,600.84
103.91,62.82,1032.94,229.0
230.58,32.45,4518.88,459.09
307.08,54.13,1798.91,416.81
135.15,72.06,4789.14,455.67
240.25,45.93,2369.23,379.55
113.28,78.0,2761.41,345.69
131.43,47.13,3828.48,367.27
258.77,28.57,3350.68,417.4
153.09,43.37,2271.76,301.11
327.02,77.1,3215.32,538.03
375.79,39.18,3922.83,555.55
420.23,72.09,1169.34,502.78
180.06,72.88,1044.8,305.6
166.99,41.01,2832.27,336.72
141.83,25.0,1527.35,227.32
354.57,63.47,3657.38,561.74
382.59,38.69,1856.21,456.92
112.63,66.98,2731.4,327.14
474.48,46.56,1790.68,538.96
120.79,49.12,3193.93,330.0
316.52,66.67,1464.21,426.44
383.62,42.94,1092.43,425.93
448.39,46.59,1204.53,488.82
385.63,42.57,4817.03,613.22
420.69,42.04,1569.14,478.07
235.78,51.56,3833.91,457.65
425.93,68.53,1271.7,507.12
132.05,41.71,1432.64,239.83
457.93,51.46,3035.51,595.3
319.04,60.24,2859.48,488.57
426.92,36.17,4806.32,636.1
280.93,36.65,4779.34,518.69
357.43,76.0,4118.43,605.87
310.56,63.41,3408.41,513.99
392.64,54.63,2819.84,537.05
132.65,58.86,2424.71,315.65
124.14,21.76,4788.35,371.37
198.84,57.09,3411.64,415.28
163.82,50.57,3316.29,372.72
448.71,52.74,1927.6,534.47
187.69,41.57,1186.79,271.84
490.35,24.89,4780.75,668.65
234.76,31.6,2254.94,347.95
172.85,77.04,2770.36,392.36
415.88,44.52,1458.56,472.41
363.48,48.0,4347.7,580.17
299.28,23.16,1110.53,329.69
322.15,22.25,4335.96,507.9
387.68,63.03,1561.14,482.75
191.38,52.29,4546.26,458.85
498.53,50.52,3919.09,670.56
489.92,34.59,1658.68,526.75
360.13,64.69,3263.27,548.3
179.82,30.09,2250.63,301.53
372.09,31.4,1712.93,430.41
128.88,47.64,4436.73,396.4
112.26,37.18,2614.09,276.28
203.07,34.85,2594.17,344.44
285.05,58.71,1679.55,400.09
447.31,59.06,2532.26,573.05
390.87,69.47,4486.47,641.22
397.08,45.06,2452.51,507.89
270.2,24.39,4806.41,493.06
238.37,36.42,4785.24,484.59
248.42,78.8,1579.59,395.91
495.06,55.78,1709.25,565.17
116.04,62.58,4450.7,409.25
446.81,20.44,2571.04,516.66
331.47,51.09,1017.5,392.69
275.45,22.25,2095.49,358.51
390.1,54.15,3390.52,562.84
294.67,75.25,4197.06,558.46
449.37,78.11,1533.55,553.33
460.28,52.43,1442.17,518.98
268.69,47.49,4688.37,520.61
210.73,76.7,4004.59,483.87
336.94,60.42,3359.12,528.13
464.95,23.89,4076.75,611.63
184.26,47.94,2715.42,355.1
349.19,34.41,4033.82,532.66
352.62,48.19,2487.21,478.74
393.25,47.33,1976.38,484.41
152.63,54.93,3916.05,400.3
386.33,41.41,2678.69,505.11
463.61,29.86,4925.51,661.95
171.87,50.22,2397.94,332.73
195.02,69.81,4686.91,495.08
488.56,59.84,4731.85,717.2
172.39,40.3,1967.41,296.74
441.75,76.13,4192.88,677.24
296.91,74.73,2732.3,486.24
198.89,32.56,4670.1,441.46
448.3,22.37,2800.5,532.21
278.12,64.48,3977.21,518.08
305.93,69.66,2867.87,492.62
243.69,78.07,1911.2,407.62
337.18,73.39,1797.4,469.7
165.41,56.03,2701.72,351.46
256.43,51.8,4021.98,483.95
487.76,21.67,3420.29,593.73
203.25,34.8,3754.52,402.53
362.69,47.58,2129.31,467.99
230.08,57.71,2925.74,416.91
409.39,53.44,1177.58,466.54
152.35,64.56,4270.13,432.22
487.93,36.79,4959.57,693.5
281.52,53.9,2627.52,437.43
194.42,25.29,1043.85,245.66
129.4,44.82,1679.17,254.71
167.9,65.01,3610.11,412.34
307.91,61.6,3448.32,511.15
234.8,79.44,4151.46,514.57
431.55,36.67,2015.54,501.03
272.36,49.89,4054.53,495.45
199.49,39.77,3751.94,406.84
346.86,46.44,2291.26,461.7
382.71,71.42,3181.95,572.39
166.82,61.05,1589.1,304.49
167.05,72.95,2810.26,383.57
114.67,32.21,4524.79,366.29
394.56,72.4,2684.77,558.49
365.52,23.59,4358.27,545.71
289.85,73.32,3361.01,509.91
437.67,39.74,1767.51,498.13
422.27,38.88,3324.42,562.35
334.14,50.73,3023.93,494.6
447.31,76.44,2594.57,602.24
182.34,22.87,1478.52,254.1
144.77,41.13,2666.83,310.86
207.9,71.39,1291.05,337.96
122.83,43.76,1395.08,233.67
312.47,31.95,2663.67,431.08
474.64,45.49,2221.53,559.02
115.74,43.13,4702.18,392.4
148.84,74.92,2502.82,356.6
280.88,65.72,4031.43,524.85
473.55,50.31,3120.99,610.35
226.46,79.3,3816.34,490.94
302.89,47.92,2040.46,416.21
116.63,23.49,4767.62,366.93
159.34,35.74,3120.35,337.09
494.65,46.16,4325.3,681.23
486.05,29.41,2460.18,555.97
101.98,76.85,1400.85,266.9
480.72,66.01,3694.85,668.34
355.65,36.1,1031.04,390.22
447.17,55.45,2901.17,585.96
281.9,63.29,1771.21,409.01
306.24,76.48,3509.5,535.18
295.54,72.9,4917.68,591.66
366.75,50.91,2857.61,512.64
155.86,66.48,4269.99,437.91
111.99,53.73,3031.14,321.74
223.17,53.16,2983.36,407.45
381.87,26.88,4721.69,581.91
180.74,27.57,4559.86,413.94
369.37,51.77,4143.2,580.32
487.96,36.13,2185.02,553.82
137.56,21.26,3180.03,300.94
369.04,63.37,1895.59,485.07
277.5,21.95,2775.67,393.71
447.26,55.72,2936.85,588.22
170.86,52.35,4326.56,431.54
377.05,78.13,4584.11,648.04
435.25,49.05,2658.48,554.7
477.85,23.82,1070.82,471.54
373.3,53.1,4447.1,600.65
298.87,70.47,1697.11,429.65
347.14,79.81,3487.53,571.8
447.56,45.82,1099.88,481.77
328.24,39.22,2598.03,451.32
112.15,74.4,4943.84,448.51
472.38,31.47,1402.77,495.25
375.81,56.93,2694.77,520.78
370.61,44.34,2228.6,474.43
186.27,22.46,4620.35,413.73
363.55,40.84,4477.36,575.97
257.55,35.91,1950.8,357.45
360.49,61.17,1324.75,446.38
142.64,76.93,3508.55,404.93
363.14,36.08,2345.47,461.91
499.77,68.69,3688.34,687.26
119.28,23.32,1128.48,186.83
490.87,52.29,1533.6,547.81
262.76,24.23,3745.49,433.83
448.3,76.04,1849.48,565.18
412.95,65.98,4430.35,650.85
326.81,59.48,1234.36,412.38
395.38,69.43,1861.93,513.55
451.41,58.85,4994.24,699.11
261.66,78.14,2732.3,463.15
230.81,62.84,3811.86,469.5
367.04,75.48,1730.65,493.38
423.14,51.03,3439.47,587.03
404.91,27.02,3904.42,559.69
419.13,51.69,2257.91,525.73
274.23,27.61,4315.59,476.58
427.13,55.55,3413.67,595.71
148.08,48.95,2556.49,319.72
317.8,57.35,3230.57,501.8
102.3,20.6,3307.04,278.1
229.83,31.69,1662.14,314.51
246.58,49.48,2610.93,402.03
258.47,77.03,2373.72,441.01
378.19,43.02,2603.61,497.25
255.42,45.46,4044.44,474.75
279.48,62.88,2930.15,464.41
195.02,56.23,4761.26,478.42
249.3,37.94,2174.71,365.08
190.91,44.65,2662.81,352.84
129.28,33.06,4147.83,360.41
341.38,77.96,3184.1,549.25
367.29,27.84,3188.11,494.99
347.8,42.31,1213.36,402.37
285.4,21.55,2594.4,390.36
251.91,33.31,2082.93,355.64
445.33,66.83,4997.34,706.38
307.63,32.07,2233.42,405.88
291.67,24.8,4537.99,497.44
110.26,48.47,3704.93,346.15
236.5,20.6,2363.67,338.28
252.08,25.09,3174.14,398.0
259.53,68.46,4362.14,528.42
332.07,66.29,4533.47,591.76
313.44,74.91,1641.58,445.19
343.16,71.27,2358.29,499.35
405.95,60.99,2340.89,533.29
425.19,23.14,1168.18,433.27
387.25,66.97,3392.95,579.9
482.21,70.73,4419.28,712.83
107.29,67.94,2526.3,314.07
178.31,50.51,3960.14,416.42
103.03,33.97,3510.8,308.92
358.99,70.72,2502.59,518.4
459.21,63.63,1564.24,541.03
197.39,78.85,3837.3,468.05
470.81,29.34,4418.26,641.58
124.11,33.54,3743.42,336.77
473.77,32.71,1071.51,481.66
240.65,67.55,1864.93,387.09
140.57,31.21,1277.92,223.17
294.35,24.0,3281.54,435.56
202.71,79.91,4025.91,483.33
213.95,21.49,1442.32,275.51
222.92,70.11,4353.35,501.17
421.21,41.92,3222.04,560.95
315.66,70.5,3759.88,546.27
224.52,53.28,4885.61,503.81
344.13,74.1,1334.72,453.19
386.46,75.57,4604.9,652.77
209.05,20.55,1504.41,273.28
265.42,24.52,2571.84,377.71
148.75,35.02,4405.75,391.82
172.46,60.16,4625.02,459.46
372.45,73.3,3025.49,559.18
172.58,47.6,3376.42,378.28
310.07,56.42,3832.59,524.31
383.62,31.31,4331.03,570.41
142.75,68.3,1486.04,290.95
326.92,78.04,4240.28,590.61
202.63,36.12,2925.1,362.53
485.17,49.69,2802.49,602.8
293.42,25.17,2695.6,407.27
422.4,53.55,3036.85,570.08
320.09,50.17,4780.2,570.33
117.37,28.67,3192.82,296.53
353.26,46.52,4812.71,593.03
480.56,40.05,1721.16,530.58
340.64,51.31,3896.54,544.31
427.68,55.14,4248.96,637.3
453.68,20.51,3716.52,579.54
191.23,65.66,3427.69,422.86
184.82,62.78,3259.25,404.99
344.39,41.98,4443.72,560.67
264.41,23.18,4286.59,460.62
435.94,65.3,1489.15,521.16
460.01,77.31,4394.35,703.69
241.37,34.41,2656.27,377.52
194.75,39.41,2014.79,315.66
412.21,31.03,4479.07,600.27
209.92,54.62,2728.1,386.27
429.05,29.29,4233.46,598.85
269.5,41.37,2053.61,380.33
367.02,61.82,1015.72,437.13
138.21,53.61,2981.84,340.07
349.54,43.19,1400.91,414.46
280.71,45.21,4017.5,493.26
334.64,53.73,2104.3,453.52
167.21,20.35,2774.58,303.02
394.75,24.71,1348.13,420.27
445.12,72.88,2146.64,572.74
186.7,24.67,4125.96,392.66
138.29,62.41,1606.35,284.56
109.46,75.2,3588.64,379.8
356.79,36.24,4669.7,573.28
342.84,42.23,3719.35,523.58
318.68,54.14,4244.09,548.35
192.78,72.9,1435.89,335.37
256.36,76.51,2002.93,420.01
337.79,64.37,4578.16,595.7
298.71,25.2,3860.42,469.78
495.11,60.15,3558.22,664.23
154.58,44.62,3655.07,373.34
378.06,48.24,2656.8,507.65
261.73,22.95,1178.23,302.72
271.28,31.46,4137.77,471.11
387.04,67.43,3714.85,596.52
376.97,47.24,2891.22,517.0
496.5,38.1,4599.04,684.3
151.36,43.04,2344.64,302.88
141.64,71.26,2177.29,329.08
389.74,64.94,4491.19,633.76
331.35,36.34,4187.95,528.99
209.66,27.05,3059.92,361.3
131.77,35.12,1522.94,234.24
134.26,75.25,1860.29,313.29
457.68,54.9,3624.91,629.73
176.75,52.01,2540.16,346.42
229.35,55.78,4345.89,484.45
190.66,41.96,4799.82,455.46
242.0,68.43,4222.55,507.37
127.77,51.4,2510.18,304.82
307.62,27.0,4154.75,494.34
127.05,27.74,2405.77,263.54
420.14,52.21,1668.4,497.85
193.48,76.19,1133.57,325.76
316.0,38.5,2542.87,437.7
452.03,72.17,4614.24,700.6
360.35,65.85,1955.95,484.85
313.18,34.87,1826.05,394.15
229.73,22.18,4879.28,461.02
233.2,26.11,1100.02,280.73
367.79,63.71,4143.13,596.96
497.66,31.98,2285.48,560.37
364.74,42.28,1149.95,412.7
323.11,50.1,4671.21,567.2
392.26,63.53,1558.57,487.03
286.08,26.79,3207.12,429.41
124.06,44.38,2096.22,270.63
324.92,49.1,1260.77,396.63
483.05,52.45,1199.69,525.1
170.12,69.1,1462.23,312.86
376.0,30.3,1285.47,410.53
180.37,68.47,4042.23,449.12
314.33,61.57,2942.26,490.94
138.67,53.35,2371.57,309.54
280.15,61.97,2673.48,450.75
402.47,44.72,4715.79,624.84
239.03,28.3,4643.01,465.83
365.96,59.95,3862.71,575.83
418.18,51.48,4538.73,638.7
470.87,58.36,2278.59,578.17
193.86,40.28,2524.44,341.73
259.73,74.41,3454.85,492.14
160.97,55.24,3494.5,386.36
496.99,25.12,2926.8,581.62
470.8,46.99,2602.63,577.25
